milk tea
pad see
ginger green
crab angels
chow mien
moo shu
kung pao
crispy duck
twice cooked
crab puffs
bbq duck
beef broccoli
teriyaki bowl
cantonese style
egg fu
spring rolls
green onions
hk style
mapo tofu
sizzling rice
fortune cookies
crab rangoon
crispy noodles
hot sour
pork fried
fried wontons
dan dan
bell peppers
corn chowder
beef chow
shanghai style
little dumpling
pillow chicken
walnut shrimp
pupu platter
pad thai
happy family
bang buck
tangerine beef
singapore rice
bell pepper
snow peas
house special

