miso	7072 8593 11175 11237 11464 11942 14419 15582 24714 27227 27491 32153 43166 43440 43523 43592 43612 43675 43702 43720 43760 43850 43895 43969 44309 44376 44643 45543 46453 47111 49482 49987 50105 54865 55682 56574 57172 57473 57517 59639 61015 61059 67629 67686 67768 67806 68158 68236 68304 68393 68448 68569 69865 71570 71609 71611 79286 81417 81503 81631 83181 83220 83314 83889 83933 83961 85316 88192 88231 88236 88249 88343 88540 88542 88584 88635 88677 88688 88703 88754 88769 88770 88772 88774 88780 88792 88837 88842 88852 88875 88886 88888 88953 88969 88982 88989 89087 89133 89149 89183 89191 89197 89206 89226 89279 89282 89310 89321 89369 89370 89389 89418 89426 89439 89465 89516 89573 89574 89609 89648 89670 89690 89707 89889 89899 89915 89929 89971 90007 90066 90107 90111 90145 90262 90297 90317 90450 90453 90477 90501 90546 90553 90593 90616 90641 90676 90692 90731 90800 90838 90867 90917 90954 90991 91022 91147 91153 91162 91170 91244 91262 91383 91397 91416 91608 91662 91683 91686 91733 91793 91991 92174 92243 92304 92485 92499 92555 92564 92568 92584 92593 92618 92620 92627 92672 92682 92735 92933 92934 93033 93235 93241 93244 93287 93294 93309 93338 93349 93385 93749 93998 95253 96916 96947 96988 97066 97496 97758 98661 99987 99989 101336 102467 102967 105300 105302 107007 112295 115099 115183 115185 116580 118814 120393 120486 120495 120497 120514 123098 123110 123125 124866 126418 127332 128483 128668 128754 128760 128762 129030 134089 134094 134109 134115 134117 134132 134158 134173 134176 134211 134214 134226 134284 134288 134291 134293 134344 134360 134405 134412 134443 134542 134707 134710 134724 134743 135119 136545 137025 137265 139752 139827 140348 140351 140362 140372 140403 140406 140407 140577 140600 140610 140919 140939 143203 143329 143439 143440 143442 143508 144299 144300 144316 144513 145716 145841 146733 149885 150029 150344 151205 151207 151242 151255 151306 154942 159652 159654 160259 160391
bell pepper	1293 2458 2700 3009 4180 5886 5890 6310 8547 12347 12714 13670 13741 14092 16201 17424 17426 20266 21559 22570 22571 23702 25043 25177 25386 25475 25481 26008 27701 28413 29516 29518 32991 33167 33978 35277 35600 35647 38081 38996 39702 40747 41484 45100 45317 45502 47752 48061 48155 48159 48484 55598 59530 60331 60972 60974 60975 62304 62350 62406 62489 62521 62628 64490 67425 69047 69194 69360 72695 73989 75006 75539 76330 76610 78246 80347 82561 82769 82775 84111 85058 86154 86641 86777 87262 87905 87951 88398 89208 89599 90861 91039 93789 94243 95663 96082 96573 97816 97824 98962 102060 102196 104861 105196 106446 107799 108013 108084 109649 110599 110693 111487 112181 113993 114916 116729 117355 117958 118007 118333 119115 119823 122215 123444 123680 126427 126655 126659 127509 127511 133801 133925 134866 135122 135188 135356 135394 136121 136278 136456 136483 136507 136534 136662 136775 137032 137120 137146 137172 137345 137700 137817 137860 140063 141395 141627 144347 144403 146998 147536 148099 149828 150142 152482 152625 152762 152881 152883 153037 154312 154880 155972 156550 157410 157888 158337 158980 161344 161849
bubble tea	20259 28652 29213 29216 29222 29228 29269 67436 67497 67546 99156 99161 99164 99170 99177 100768 102989 118706 120609 122669 122714 122759 122760 133772 140671 146992 147961 149088 150805 152002 152188 152279 159186 160760 161011 161017
japanese tofu	99035 134959
honey chicken	5155 5815 5936 5951 7395 7397 7429 7886 8529 10495 10624 10660 10998 12810 13543 13553 14522 24647 24858 24862 32520 32556 32711 32865 34077 34802 34826 34899 34904 35113 35214 35236 35260 36217 36230 36386 36878 37144 46963 48465 48678 48706 48795 49649 49650 55741 55853 55887 66394 66520 66804 71398 71417 71487 71492 71546 71590 71591 71639 72094 72142 76775 77989 78864 81195 81251 81403 82266 82270 83003 84714 85680 87523 87554 87585 95099 95142 96774 96827 96864 96944 97131 97221 97610 97895 99768 99906 99937 102117 102121 102126 102269 102276 102293 102313 103279 103320 103337 105451 105471 107248 107557 107589 107801 107837 115032 115058 115071 115219 116066 116262 116266 118473 119704 119712 121879 121880 127516 127534 128312 128519 128521 128622 133552 133666 135388 139824 139827 142287 142289 148782 148798 150749 150871 151024 151363 151402 151414 156138 157533 157570 157620 157629 157653 157655 158056 158164
beef stew noodle soup	20745 56896 59408 59555 59794 60022 60444 61025 61029 73271 77574 77775 86233 94395 94425 94442 94829 95933 114356 120583 120764 124365 125721 127807 128064 128096 128215 135559 135596 161167
iced tea	574 1043 1493 2302 3291 4652 5211 5543 5569 6720 6875 7393 7433 7782 7810 9581 9623 10174 11277 11332 11403 11516 12927 13095 14194 14303 14305 14338 14437 14884 15511 15829 16110 16352 16451 16471 16651 16654 17229 17249 17311 17852 23594 23620 23869 23995 24044 24376 24499 24509 24703 24782 25235 26597 27188 27376 27387 27641 27645 28600 28775 30219 30418 30445 30456 30469 31363 32228 33244 33315 34395 34708 35216 35239 35267 36264 39298 39743 40056 40080 40082 40448 40655 40753 40781 40859 40913 41148 41162 43019 43204 43234 44631 45733 47291 47365 47444 47818 47851 48132 48263 48287 49473 49484 49539 53366 53549 53626 54777 55499 55618 55801 55997 56498 57639 58864 59281 59436 59548 59583 59602 59663 59808 60112 60455 60466 60538 60786 60825 61020 61065 61749 63694 64440 65617 65949 65999 66687 66763 66765 67019 67135 67338 67595 67597 67603 67655 69045 69710 71343 71999 72848 73733 74609 75193 75324 75440 75445 75730 76651 77312 77935 78397 78957 80039 81534 81742 83789 85004 87857 91153 95104 96918 97144 98160 98426 98475 98477 98897 98941 100594 103000 103101 103960 104027 104070 104120 104189 104191 104194 104207 104463 104485 104598 104650 104745 104942 107585 108537 109332 109727 109773 111684 113087 113801 113939 114131 114474 114561 115851 117638 118014 118259 118688 119115 119159 119477 119488 119519 119735 120198 120269 120273 120284 120680 123200 123409 123437 123558 123620 124766 124957 124959 125893 125903 127010 127321 128557 136192 136545 136847 137269 137337 137359 137558 137700 138044 139117 139595 140356 140358 140775 140978 141114 142388 142586 142631 142642 143461 143475 143490 143492 144315 144692 146389 148084 148114 148256 148970 149067 149102 149574 149576 149907 150384 150633 150701 151771 151863 152073 152132 152140 152307 152374 152389 152494 152983 154663 155167 155590 156320 156411 156659 157766 158400 159078 159421 160381 161299 161338 161433 161806
braised tofu	2498 2502 2766 14408 15386 20731 20926 21594 23057 23079 23305 23727 23895 40104 73298 85908 86099 86637 94966 98627 102839 103423 108760 110082 149646 150038 150350 150406 150447 157317 157341 157343
red bean	1507 7035 15128 15250 15355 20252 21822 21948 22115 22369 22531 22924 23309 23405 25967 26190 26234 26638 26655 26807 27834 31314 42128 42258 47085 59062 61666 61883 61995 62051 62222 62398 64044 64589 64925 65094 65151 66110 69863 71025 72942 73027 74456 75087 77624 80278 85219 94158 94183 94197 94754 94774 98239 98255 98821 99505 102432 103948 104075 104521 104724 109761 109765 110202 113464 113470 113489 113492 113548 113556 113602 113814 113889 113926 114031 114047 114105 114131 114328 114380 114426 114435 114438 114904 116489 122603 124071 125461 125684 141973 141994 142044 142103 142109 143787 143960 144369 144577 144869 144971 145045 146173 146741 146980 150559 150651 151656 151684 151719 151721 151723 151757 151776 151789 151863 151871 151878 151896 152004 152011 152030 152045 152053 152077 152117 152217 152275 152301 152347 152389 152464 152597 154228 155303 157039 157091 157134 157260 157271 157324 157331 157337 157349 157351 157704 158699 158829 158926 158929 159018 161177 161182
spare ribs	142 307 1571 2640 3906 6449 7488 8018 8384 9348 9720 9723 9888 11563 12546 12553 12563 13278 18378 20472 21632 21994 22094 23321 24582 24647 26367 26765 27521 27531 27868 27900 28201 28236 29588 31007 31170 31243 32520 32556 35298 35423 36399 37543 37546 41424 41432 41458 41572 41749 41836 41882 41952 41979 42322 42493 42936 44144 45440 45892 45957 46851 46854 48658 48814 48845 49278 49355 49373 49548 50516 53386 53566 53606 54169 54649 58593 58598 58837 58838 59004 59150 60331 60478 61962 62107 62206 62371 62404 62410 62489 62517 62521 64847 64989 65577 65736 66419 68154 70820 71270 73202 73289 74436 74448 74886 74916 75202 77352 77427 77491 77492 77720 77962 78216 78256 78775 81133 81168 83523 83623 84044 84089 84091 84828 84963 85208 85226 85425 85514 86383 86584 86610 87714 88066 95155 95935 97018 97333 100705 101141 101259 101287 101365 101703 102388 105104 106011 106118 106987 109137 112710 113040 113611 113640 114412 114794 115029 117076 117744 117816 118135 118167 118189 119292 119360 119426 119430 119435 119446 119525 119585 120116 120175 121631 122455 125477 126334 126373 126964 133577 133579 135358 137229 137338 137975 137990 139736 140882 142317 144688 144725 144783 145045 145360 147173 147607 148878 150481 150673 152414 154424 154745 154958 156524 157249 157918 157996 159531 161624 161645
